IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
000281-01012017,1/1/17,2017,1:20:35 PM,13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SW6 2BN,SW6,34066629,21000085,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000260,PARSONS GREEN AND WALHAM,PARSONS GREEN AND WALHAM,525917.0,176716.0,525950,176750,51.47540191,-0.188295836,London,Fulham,267.0,Fulham,457.0,Battersea,2.0,2.0,2.0,1.0,326.0
000327-01012017,1/1/17,2017,4:00:10 PM,16,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,SW1H 0QW,SW1H,10033531703,8400926,E09000033,WESTMINSTER,Westminster,E05000644,ST. JAMES'S,ST. JAMES'S,529590.0,179446.0,529550,179450,51.4991075,-0.134436316,London,Lambeth,677.0,Lambeth,,,1.0,1.0,1.0,1.0,326.0
000468-01012017,1/1/17,2017,10:20:46 PM,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,NW1,0,20400805,E09000007,CAMDEN,Camden,E05000143,ST. PANCRAS AND SOMERS TOWN,ST. PANCRAS AND SOMERS TOWN,,,529550,183050,,,London,Euston,318.0,Soho,,,1.0,1.0,1.0,1.0,326.0
000289-01012017,1/1/17,2017,1:37:52 PM,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,KT5,0,21800168,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000401,BERRYLANDS,BERRYLANDS,,,518750,166950,,,London,Surbiton,490.0,Kingston,579.0,Kingston,1.0,2.0,2.0,1.0,326.0
000350-01012017,1/1/17,2017,4:48:16 PM,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W11,0,21701277,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009399,NOTTING DALE,NOTTING DALE,,,523850,180850,,,London,North Kensington,330.0,North Kensington,330.0,North Kensington,1.0,2.0,2.0,1.0,326.0
000412-01012017,1/1/17,2017,8:10:02 PM,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E8,0,20900581,E09000012,HACKNEY,Hackney,E05009375,HAGGERSTON,HAGGERSTON,,,533550,183950,,,London,Shoreditch,263.0,Shoreditch,306.0,Islington,3.0,3.0,3.0,1.0,326.0
000336-01012017,1/1/17,2017,4:20:25 PM,16,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E16,0,22207781,E09000025,NEWHAM,Newham,E05000479,CUSTOM HOUSE,CUSTOM HOUSE,,,540650,181250,,,London,Plaistow,211.0,Plaistow,,,2.0,2.0,2.0,1.0,326.0
000298-01012017,1/1/17,2017,2:17:24 PM,14,False Alarm,False alarm - Good intent,,Non Residential,Restaurant/cafe,Correct incident location,E4 7QH,E4,10091774658,22869100,E09000031,WALTHAM FOREST,Waltham Forest,E05000593,CHINGFORD GREEN,CHINGFORD GREEN,539649.0,194764.0,539650,194750,51.63435889,0.016467831000000002,London,Chingford,159.0,Chingford,296.0,Woodford,2.0,2.0,2.0,1.0,326.0
000051-01012017,1/1/17,2017,12:50:06 AM,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E6 3EU,E6,46079106,22201202,E09000025,NEWHAM,Newham,E05000476,BOLEYN,BOLEYN,541703.0,182755.0,541750,182750,51.52593701,0.041286,London,East Ham,262.0,Plaistow,,,1.0,1.0,1.0,1.0,326.0
000429-01012017,1/1/17,2017,9:00:49 PM,21,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,SE15 4HY,SE15,200003394409,22501092,E09000028,SOUTHWARK,Southwark,E05011103,Goose Green,Goose Green,534131.0,175641.0,534150,175650,51.46385520000001,-0.070498878,London,Peckham,314.0,Peckham,,,1.0,1.0,1.0,1.0,326.0
000427-01012017,1/1/17,2017,8:57:26 PM,20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,WC1X,0,20400917,E09000007,CAMDEN,Camden,E05000138,HOLBORN AND COVENT GARDEN,HOLBORN AND COVENT GARDEN,,,530850,182250,,,London,Euston,281.0,Euston,303.0,Soho,2.0,2.0,2.0,1.0,326.0
